Password,Transaction ID,Expense Type,Amount,Date
123,1000,Deposit,2000.0,2026-03-18
123,1000,food,1000.0,2026-03-18
124,1000,EMI Payment,10511.066411154236,2026-03-19
125,1001,EMI Deduction,10511.066411154236,2026-03-19
125,1000,EMI Deduction,10511.066411154236,2026-03-19
123,1000,Deposit,100000.0,2026-03-19
124,1001,Deposit,100000.0,2026-03-19
123,1000,EMI Payment,10511.066411154236,2026-03-19
125,1001,EMI Deduction,10511.066411154236,2026-03-19
124,1002,EMI Payment,10511.066411154236,2026-03-19
125,1003,EMI Deduction,10511.066411154236,2026-03-19
